"Time (s)","Illuminance (lx)"
3.346231000E-3,4.340000000E2
3.622377900E-2,4.330000000E2
7.623239500E-2,4.310000000E2
1.162250100E-1,4.300000000E2
1.968807790E-1,4.290000000E2
2.362201640E-1,4.280000000E2
2.762142410E-1,4.290000000E2
3.162228570E-1,4.270000000E2
3.962136260E-1,4.280000000E2
5.162044720E-1,4.310000000E2
5.562130110E-1,4.350000000E2
5.962361650E-1,4.400000000E2
6.362302420E-1,4.460000000E2
6.768613190E-1,4.480000000E2
8.362265500E-1,4.450000000E2
8.762204730E-1,4.420000000E2
9.168820120E-1,4.410000000E2
9.562217040E-1,4.400000000E2
9.962152430E-1,4.390000000E2
1.116210551E0,4.380000000E2
1.196242320E0,4.370000000E2
1.236205705E0,4.360000000E2
1.476226552E0,4.370000000E2
1.636882937E0,4.340000000E2
1.676222937E0,4.310000000E2
1.716216706E0,4.300000000E2
1.836211860E0,4.310000000E2
1.876873399E0,4.350000000E2
1.916243553E0,4.370000000E2
1.996215553E0,4.380000000E2
2.036238861E0,4.370000000E2
2.076232476E0,4.360000000E2
2.196227861E0,4.350000000E2
2.316222938E0,4.340000000E2
2.356885015E0,4.350000000E2
2.516219477E0,4.360000000E2
2.636245093E0,4.370000000E2
2.956206863E0,4.380000000E2
3.236220402E0,4.370000000E2
3.316876095E0,4.360000000E2
3.356246018E0,4.350000000E2
3.396213710E0,4.360000000E2
3.436217633E0,4.350000000E2
3.676208095E0,4.360000000E2
3.916229019E0,4.350000000E2
3.956221942E0,4.360000000E2
4.036877404E0,4.380000000E2
4.076247173E0,4.400000000E2
4.116210327E0,4.420000000E2
4.156218943E0,4.440000000E2
4.276867866E0,4.420000000E2
4.316237635E0,4.410000000E2
4.356231559E0,4.390000000E2
4.396213943E0,4.380000000E2
4.436232174E0,4.360000000E2
4.476226328E0,4.350000000E2
4.556227559E0,4.340000000E2
4.716216713E0,4.350000000E2
4.756878636E0,4.360000000E2
4.796248175E0,4.370000000E2
4.836212098E0,4.380000000E2
5.116210637E0,4.390000000E2
5.156233330E0,4.380000000E2
5.196228099E0,4.390000000E2
5.516246331E0,4.380000000E2
5.636244792E0,4.370000000E2
5.676208100E0,4.360000000E2
5.716869946E0,4.350000000E2
5.756240100E0,4.360000000E2
5.916228793E0,4.350000000E2
5.956860178E0,4.320000000E2
5.996229947E0,4.300000000E2
6.076232409E0,4.310000000E2
6.196880794E0,4.340000000E2
6.236220178E0,4.360000000E2
6.476241102E0,4.370000000E2
6.516204410E0,4.360000000E2
6.596236179E0,4.370000000E2
6.676861026E0,4.380000000E2
6.716231257E0,4.360000000E2
6.836242769E0,4.370000000E2
7.036240001E0,4.380000000E2
7.076263462E0,4.410000000E2
7.116226539E0,4.420000000E2
7.236221924E0,4.410000000E2
7.316253540E0,4.390000000E2
7.356247463E0,4.380000000E2
7.516220617E0,4.390000000E2
7.556243694E0,4.400000000E2
7.596237925E0,4.410000000E2
7.636899387E0,4.420000000E2
7.676238848E0,4.440000000E2
7.836228080E0,4.410000000E2
7.876889541E0,4.390000000E2
7.916259464E0,4.380000000E2
7.956223157E0,4.370000000E2
8.076248696E0,4.380000000E2
8.276245004E0,4.390000000E2
8.716235466E0,4.380000000E2
8.756256082E0,4.370000000E2
8.796250236E0,4.340000000E2
8.836880697E0,4.310000000E2
8.876250851E0,4.270000000E2
8.996246544E0,4.280000000E2
9.036240313E0,4.290000000E2
9.076901621E0,4.310000000E2
9.116241621E0,4.340000000E2
9.396230237E0,4.350000000E2
9.436233853E0,4.360000000E2
9.516248007E0,4.370000000E2
9.556882776E0,4.380000000E2
9.636246468E0,4.390000000E2
9.796902853E0,4.370000000E2
9.916245238E0,4.360000000E2
1.003689355E1,4.370000000E2
1.035624747E1,4.360000000E2
1.047624286E1,4.350000000E2
1.063624655E1,4.320000000E2
1.067623939E1,4.290000000E2
1.075689486E1,4.260000000E2
1.079626463E1,4.230000000E2
1.095622309E1,4.250000000E2
1.099688470E1,4.280000000E2
1.103625509E1,4.270000000E2
1.107624870E1,4.300000000E2
1.111622678E1,4.330000000E2
1.119624370E1,4.340000000E2
1.131623940E1,4.350000000E2
1.143623363E1,4.360000000E2
1.147689601E1,4.370000000E2
1.159623794E1,4.380000000E2
1.163626124E1,4.400000000E2
1.167622463E1,4.410000000E2
1.191624555E1,4.390000000E2
1.199624624E1,4.370000000E2
1.243688709E1,4.380000000E2
1.263624594E1,4.370000000E2
1.283624255E1,4.360000000E2
1.287623640E1,4.350000000E2
1.303624040E1,4.340000000E2
1.307626371E1,4.350000000E2
1.315688863E1,4.360000000E2
1.331625386E1,4.370000000E2
1.351624617E1,4.380000000E2
1.363690009E1,4.390000000E2
1.379626463E1,4.380000000E2
1.387688963E1,4.370000000E2
1.391625971E1,4.350000000E2
1.403625479E1,4.360000000E2
1.411688010E1,4.350000000E2
1.419624402E1,4.360000000E2
1.435690133E1,4.350000000E2
1.439624502E1,4.360000000E2
1.451623548E1,4.370000000E2
1.483688133E1,4.360000000E2
1.511624164E1,4.370000000E2
1.519624410E1,4.360000000E2
1.527623048E1,4.370000000E2
1.535626256E1,4.360000000E2
1.551622071E1,4.370000000E2
1.555688218E1,4.380000000E2
1.575624102E1,4.390000000E2
1.595623787E1,4.400000000E2
1.599623179E1,4.410000000E2
1.603689325E1,4.420000000E2
1.607626310E1,4.430000000E2
1.611622656E1,4.460000000E2
1.615623510E1,4.490000000E2
1.619625848E1,4.520000000E2
1.623622164E1,4.560000000E2
1.631625356E1,4.580000000E2
1.635624779E1,4.600000000E2
1.639625241E1,4.620000000E2
1.643624833E1,4.640000000E2
1.647624287E1,4.670000000E2
1.651687364E1,4.700000000E2
1.667623887E1,4.690000000E2
1.675689487E1,4.680000000E2
1.691626002E1,4.690000000E2
1.703625479E1,4.680000000E2
1.707624872E1,4.660000000E2
1.711622718E1,4.630000000E2
1.715624995E1,4.610000000E2
1.719624403E1,4.600000000E2
