"Time (s)","Illuminance (lx)"
2.903461000E-3,1.000000000E2
1.434613920E-1,1.010000000E2
1.834551610E-1,1.000000000E2
2.241167760E-1,1.010000000E2
4.641072390E-1,1.000000000E2
5.034773930E-1,9.900000000E1
5.434712390E-1,9.800000000E1
6.634660080E-1,9.700000000E1
1.463468472E0,9.600000000E1
1.623457318E0,9.700000000E1
1.664119549E0,9.600000000E1
1.743453088E0,9.700000000E1
2.303465089E0,9.600000000E1
2.463454243E0,9.700000000E1
2.983443245E0,9.600000000E1
3.104122014E0,9.700000000E1
3.223464168E0,9.600000000E1
3.503477323E0,9.700000000E1
3.584103169E0,9.800000000E1
3.743463169E0,9.700000000E1
4.943475172E0,9.600000000E1
4.983438557E0,9.700000000E1
5.024100096E0,9.600000000E1
5.823465328E0,9.500000000E1
5.863443482E0,9.600000000E1
6.063455790E0,9.700000000E1
6.103464175E0,9.600000000E1
6.343454330E0,9.700000000E1
6.383477407E0,9.600000000E1
6.423440791E0,9.700000000E1
6.944113946E0,9.600000000E1
7.023446870E0,9.700000000E1
7.904105333E0,9.600000000E1
8.183429308E0,9.700000000E1
8.503422232E0,9.800000000E1
8.543445309E0,9.700000000E1
8.624069925E0,9.800000000E1
8.663440617E0,9.700000000E1
1.002341108E1,9.600000000E1
1.030406347E1,9.700000000E1
1.130342439E1,9.800000000E1
1.142342008E1,9.700000000E1
1.150407516E1,9.600000000E1
1.174406586E1,9.700000000E1
1.222407693E1,9.800000000E1
1.254343078E1,9.700000000E1
1.294407817E1,9.800000000E1
1.310344309E1,9.700000000E1
1.338342709E1,9.600000000E1
1.350342248E1,9.700000000E1
1.354343086E1,9.600000000E1
1.362341724E1,9.700000000E1
1.438408063E1,9.600000000E1
1.454344525E1,9.700000000E1
1.470340440E1,9.800000000E1
1.482342932E1,9.700000000E1
1.558406740E1,9.600000000E1
1.574342687E1,9.700000000E1
1.678407448E1,9.800000000E1
1.690341641E1,9.700000000E1
1.718342956E1,9.600000000E1
1.722342379E1,9.700000000E1
1.730342464E1,9.600000000E1
1.734341910E1,9.700000000E1
1.738342718E1,9.600000000E1
1.750407541E1,9.700000000E1
1.754344564E1,9.600000000E1
1.762341702E1,9.700000000E1
1.830341018E1,9.600000000E1
1.846406679E1,9.700000000E1
1.898341756E1,9.800000000E1
1.902341118E1,9.900000000E1
1.906341980E1,1.010000000E2
1.910388477E1,1.040000000E2
1.914384785E1,1.060000000E2
1.918451023E1,1.070000000E2
1.922387985E1,1.080000000E2
1.934387523E1,1.090000000E2
1.946387054E1,1.100000000E2
1.974385431E1,1.090000000E2
2.002385339E1,1.080000000E2
2.018387147E1,1.090000000E2
2.022386531E1,1.080000000E2
