"Time (s)","Illuminance (lx)"
6.356307000E-3,3.300000000E2
3.953230800E-2,3.290000000E2
7.955538500E-2,3.300000000E2
1.601809240E-1,3.320000000E2
2.795270010E-1,3.310000000E2
3.195451550E-1,3.300000000E2
3.595396160E-1,3.290000000E2
4.001713860E-1,3.250000000E2
4.795346940E-1,3.240000000E2
6.795615400E-1,3.230000000E2
1.199536541E0,3.240000000E2
1.639552850E0,3.230000000E2
1.679547312E0,3.240000000E2
1.719525158E0,3.230000000E2
2.159527928E0,3.220000000E2
2.199536544E0,3.210000000E2
2.239559313E0,3.200000000E2
2.320184544E0,3.210000000E2
2.359554160E0,3.200000000E2
2.439526468E0,3.210000000E2
2.479549545E0,3.230000000E2
2.560175006E0,3.240000000E2
2.639538468E0,3.230000000E2
2.959560546E0,3.220000000E2
2.999523623E0,3.230000000E2
3.040185777E0,3.240000000E2
3.079555623E0,3.250000000E2
3.159527700E0,3.260000000E2
3.199550777E0,3.270000000E2
3.319545854E0,3.260000000E2
3.359539700E0,3.250000000E2
3.399543085E0,3.240000000E2
3.439541162E0,3.230000000E2
3.520197778E0,3.220000000E2
3.679556932E0,3.200000000E2
3.760182701E0,3.210000000E2
3.799552548E0,3.220000000E2
3.839515702E0,3.230000000E2
3.879524240E0,3.250000000E2
3.919547317E0,3.260000000E2
4.039542471E0,3.250000000E2
4.079536241E0,3.240000000E2
4.119514472E0,3.220000000E2
4.399528011E0,3.230000000E2
4.679542473E0,3.220000000E2
4.879539012E0,3.230000000E2
4.919532627E0,3.220000000E2
4.960194781E0,3.230000000E2
5.039527935E0,3.240000000E2
5.079536320E0,3.250000000E2
5.119529166E0,3.260000000E2
5.239554705E0,3.250000000E2
5.279523320E0,3.220000000E2
5.319526090E0,3.200000000E2
5.359549859E0,3.190000000E2
5.519538706E0,3.180000000E2
5.680195629E0,3.190000000E2
5.719535322E0,3.180000000E2
5.799537552E0,3.200000000E2
5.839530091E0,3.230000000E2
5.879524245E0,3.240000000E2
5.920185860E0,3.250000000E2
6.160175938E0,3.240000000E2
6.439536323E0,3.220000000E2
6.479530708E0,3.200000000E2
6.559531400E0,3.190000000E2
6.679557170E0,3.210000000E2
6.719520555E0,3.220000000E2
6.839515632E0,3.210000000E2
6.880177170E0,3.200000000E2
6.919547401E0,3.210000000E2
7.079536556E0,3.220000000E2
7.120167633E0,3.230000000E2
7.479530095E0,3.220000000E2
7.639548557E0,3.210000000E2
7.840168634E0,3.220000000E2
7.879538788E0,3.210000000E2
7.999534173E0,3.220000000E2
8.080190173E0,3.230000000E2
8.399512866E0,3.240000000E2
8.479545174E0,3.230000000E2
8.759529175E0,3.240000000E2
8.800190790E0,3.250000000E2
8.879524021E0,3.260000000E2
8.999519329E0,3.240000000E2
9.079551099E0,3.230000000E2
9.359535099E0,3.220000000E2
9.399513253E0,3.230000000E2
9.679556869E0,3.240000000E2
9.719520562E0,3.230000000E2
9.879524024E0,3.210000000E2
9.919547024E0,3.200000000E2
1.011951418E1,3.210000000E2
1.015953756E1,3.220000000E2
1.019953172E1,3.230000000E2
1.039952764E1,3.220000000E2
1.051955326E1,3.230000000E2
1.055951687E1,3.240000000E2
1.059952549E1,3.250000000E2
1.083951541E1,3.240000000E2
1.103952772E1,3.250000000E2
1.107953664E1,3.260000000E2
1.115952303E1,3.270000000E2
1.127952303E1,3.260000000E2
1.139953880E1,3.250000000E2
1.144017534E1,3.240000000E2
1.151953880E1,3.230000000E2
1.155951687E1,3.240000000E2
1.159953995E1,3.230000000E2
1.199951911E1,3.220000000E2
1.207955103E1,3.230000000E2
1.223954003E1,3.240000000E2
1.264018734E1,3.250000000E2
1.275952918E1,3.230000000E2
1.279955257E1,3.200000000E2
1.288017757E1,3.210000000E2
1.291954711E1,3.220000000E2
1.299951911E1,3.240000000E2
1.303954249E1,3.250000000E2
1.312016796E1,3.260000000E2
1.315953726E1,3.250000000E2
1.319953165E1,3.230000000E2
1.327953811E1,3.220000000E2
1.331952557E1,3.230000000E2
1.339952796E1,3.220000000E2
1.360017811E1,3.210000000E2
1.367954249E1,3.220000000E2
1.375954334E1,3.230000000E2
1.379953750E1,3.220000000E2
1.384016919E1,3.240000000E2
1.395954150E1,3.250000000E2
1.403952796E1,3.240000000E2
1.411952896E1,3.230000000E2
1.415952303E1,3.200000000E2
1.419953165E1,3.190000000E2
1.423955450E1,3.180000000E2
1.435954957E1,3.200000000E2
1.439951296E1,3.220000000E2
1.456016988E1,3.230000000E2
1.459953965E1,3.240000000E2
1.467909315E1,3.250000000E2
1.475907962E1,3.270000000E2
1.483908062E1,3.280000000E2
1.491908308E1,3.270000000E2
1.499906977E1,3.260000000E2
1.503973139E1,3.250000000E2
1.507910146E1,3.240000000E2
1.515907346E1,3.230000000E2
1.535908554E1,3.240000000E2
1.543908700E1,3.230000000E2
1.559907562E1,3.220000000E2
1.567910739E1,3.210000000E2
1.599972277E1,3.240000000E2
1.603909316E1,3.250000000E2
1.615908793E1,3.260000000E2
1.627908831E1,3.250000000E2
1.639907839E1,3.240000000E2
1.647973385E1,3.230000000E2
1.655906731E1,3.210000000E2
1.659907570E1,3.200000000E2
1.663909931E1,3.180000000E2
1.675909385E1,3.200000000E2
1.679908793E1,3.210000000E2
1.683906608E1,3.250000000E2
1.687908916E1,3.280000000E2
1.707908639E1,3.270000000E2
1.711907931E1,3.260000000E2
1.731907654E1,3.270000000E2
1.735910032E1,3.290000000E2
1.779908793E1,3.300000000E2
1.783908062E1,3.310000000E2
1.787907447E1,3.320000000E2
1.811906432E1,3.310000000E2
