"Time (s)","Illuminance (lx)"
3.175000000E-3,6.800000000E1
9.950708800E-2,6.700000000E1
1.795050110E-1,6.800000000E1
2.195024730E-1,6.900000000E1
3.794913960E-1,6.800000000E1
4.595225500E-1,6.700000000E1
4.994862420E-1,6.400000000E1
5.401483960E-1,6.300000000E1
1.020159474E0,6.200000000E1
1.099492321E0,6.100000000E1
1.139501013E0,6.200000000E1
1.260149552E0,6.100000000E1
1.299519475E0,6.200000000E1
1.419514783E0,6.300000000E1
2.460161863E0,6.200000000E1
2.499501247E0,6.300000000E1
2.739522248E0,6.200000000E1
2.819493940E0,6.100000000E1
2.859516633E0,6.000000000E1
3.539495173E0,6.100000000E1
3.739502558E0,6.200000000E1
3.819503712E0,6.100000000E1
3.859497635E0,6.000000000E1
4.779494868E0,6.100000000E1
4.819489022E0,6.000000000E1
5.179474254E0,6.100000000E1
5.259506254E0,6.200000000E1
5.340131408E0,6.100000000E1
5.379501254E0,6.000000000E1
5.539490485E0,6.100000000E1
5.580152331E0,6.000000000E1
5.659485562E0,6.100000000E1
5.779480640E0,6.200000000E1
5.899475794E0,6.300000000E1
6.060138256E0,6.200000000E1
6.099502256E0,6.100000000E1
6.179474487E0,6.000000000E1
6.699484540E0,6.100000000E1
6.739478078E0,6.200000000E1
6.780109386E0,6.100000000E1
6.859473463E0,6.200000000E1
6.939474694E0,6.100000000E1
6.979468848E0,6.200000000E1
7.020130617E0,6.100000000E1
7.059475002E0,6.000000000E1
7.699469696E0,6.100000000E1
7.779471235E0,6.200000000E1
7.819464850E0,6.100000000E1
7.859473389E0,6.200000000E1
7.939460158E0,6.100000000E1
7.980122004E0,6.000000000E1
8.339454313E0,6.100000000E1
8.499472467E0,6.200000000E1
8.539466083E0,6.300000000E1
8.579474698E0,6.200000000E1
8.779456468E0,6.100000000E1
8.859488160E0,6.000000000E1
9.900105086E0,6.100000000E1
1.001947747E1,6.200000000E1
1.014012570E1,6.300000000E1
1.017946509E1,6.200000000E1
1.021945901E1,6.100000000E1
1.033945401E1,6.000000000E1
1.069946978E1,6.100000000E1
1.073947832E1,6.200000000E1
1.077947093E1,6.300000000E1
1.086012670E1,6.200000000E1
1.089946632E1,6.100000000E1
1.093945994E1,6.000000000E1
1.129947586E1,6.100000000E1
1.134010724E1,6.200000000E1
1.145947963E1,6.100000000E1
1.153946609E1,6.200000000E1
1.169947001E1,6.100000000E1
1.185948817E1,6.000000000E1
1.409946325E1,6.100000000E1
1.413948671E1,6.000000000E1
1.417945040E1,6.100000000E1
1.446013256E1,6.200000000E1
1.449947217E1,6.100000000E1
1.453946602E1,6.200000000E1
1.485948787E1,6.100000000E1
1.489945156E1,6.200000000E1
1.494011341E1,6.100000000E1
1.497948356E1,6.000000000E1
1.533946879E1,6.100000000E1
1.538006492E1,6.200000000E1
1.542069046E1,6.100000000E1
1.546007931E1,6.200000000E1
1.562028362E1,6.100000000E1
1.566077969E1,6.000000000E1
1.674013847E1,6.100000000E1
1.682011416E1,6.000000000E1
1.694015439E1,6.100000000E1
1.698015931E1,6.000000000E1
1.730142554E1,6.100000000E1
1.738009016E1,6.000000000E1
1.746028301E1,6.100000000E1
1.750026031E1,6.200000000E1
1.754019447E1,6.300000000E1
1.758073693E1,6.200000000E1
1.774046793E1,6.100000000E1
1.786107354E1,6.000000000E1
1.806097324E1,6.100000000E1
1.818026339E1,6.200000000E1
1.822032947E1,6.300000000E1
1.826016893E1,6.400000000E1
1.830096116E1,6.500000000E1
1.834027378E1,6.700000000E1
1.838020916E1,6.800000000E1
1.842021293E1,6.900000000E1
1.846012270E1,7.100000000E1
1.850029262E1,7.300000000E1
1.854071162E1,7.400000000E1
1.858009255E1,7.500000000E1
1.866009501E1,7.600000000E1
1.893994732E1,7.500000000E1
1.897994178E1,7.400000000E1
1.902060332E1,7.300000000E1
1.950058424E1,7.400000000E1
