"Time (s)","Illuminance (lx)"
3.969538000E-3,1.000000000E2
7.010328510E-1,9.900000000E1
8.216811590E-1,9.800000000E1
8.610516980E-1,9.700000000E1
2.621046702E0,9.600000000E1
2.941023626E0,9.700000000E1
3.661024243E0,9.800000000E1
3.821028935E0,9.700000000E1
4.061048936E0,9.800000000E1
4.781050399E0,9.700000000E1
4.861037169E0,9.800000000E1
5.941023633E0,9.700000000E1
6.221047710E0,9.800000000E1
7.061701866E0,9.700000000E1
7.261031021E0,9.800000000E1
7.341062713E0,9.900000000E1
7.621046714E0,9.800000000E1
7.701047945E0,9.700000000E1
7.781704253E0,9.800000000E1
8.301053792E0,9.700000000E1
8.381025869E0,9.800000000E1
8.821029178E0,9.900000000E1
8.941023102E0,9.800000000E1
1.010105116E1,9.700000000E1
1.018170131E1,9.800000000E1
1.026103485E1,9.700000000E1
1.042169154E1,9.800000000E1
1.066168170E1,9.700000000E1
1.074104562E1,9.800000000E1
1.118106254E1,9.700000000E1
1.154104808E1,9.800000000E1
1.202105862E1,9.700000000E1
1.222102624E1,9.800000000E1
1.270103709E1,9.700000000E1
1.274106016E1,9.800000000E1
1.354168655E1,9.700000000E1
1.370105178E1,9.800000000E1
1.374104563E1,9.700000000E1
1.378170755E1,9.800000000E1
1.498168909E1,9.900000000E1
1.510103640E1,9.800000000E1
1.618170109E1,9.700000000E1
1.630104348E1,9.800000000E1
1.638102963E1,9.700000000E1
1.674104571E1,9.600000000E1
1.690170263E1,9.500000000E1
1.734105187E1,9.600000000E1
1.746104694E1,9.500000000E1
1.802105948E1,9.600000000E1
1.814105364E1,9.700000000E1
1.834170502E1,9.800000000E1
1.838104448E1,9.900000000E1
1.842103802E1,1.000000000E2
1.850103925E1,1.010000000E2
1.858169525E1,1.020000000E2
1.862106533E1,1.030000000E2
1.866102841E1,1.040000000E2
1.882168625E1,1.030000000E2
1.898105056E1,1.020000000E2
1.918104810E1,1.030000000E2
1.954168572E1,1.020000000E2
1.962105033E1,1.010000000E2
1.970105187E1,1.020000000E2
1.982104941E1,1.030000000E2
1.986104103E1,1.020000000E2
