"Time (s)","Illuminance (lx)"
6.190692000E-3,9.400000000E1
1.165723870E-1,9.200000000E1
1.572345410E-1,9.100000000E1
3.565930030E-1,9.200000000E1
3.972548490E-1,9.300000000E1
5.565901570E-1,9.200000000E1
5.965834650E-1,9.100000000E1
6.766151570E-1,9.000000000E1
8.365732350E-1,8.900000000E1
8.772356960E-1,8.800000000E1
9.166050040E-1,8.700000000E1
9.565990810E-1,8.600000000E1
9.965819270E-1,8.500000000E1
1.156595697E0,8.600000000E1
1.236597928E0,8.700000000E1
1.316584697E0,8.800000000E1
1.357246774E0,8.900000000E1
1.837226776E0,8.800000000E1
1.956599391E0,8.700000000E1
1.996596314E0,8.600000000E1
2.036585238E0,8.500000000E1
2.196589238E0,8.700000000E1
2.236612623E0,8.800000000E1
2.276576007E0,8.900000000E1
2.396601623E0,8.800000000E1
2.436579700E0,8.600000000E1
2.476602546E0,8.300000000E1
2.516596623E0,8.200000000E1
2.676600393E0,8.300000000E1
2.716593008E0,8.400000000E1
2.836588393E0,8.500000000E1
2.956614471E0,8.600000000E1
3.037239086E0,8.700000000E1
3.156580394E0,8.600000000E1
3.236597933E0,8.500000000E1
3.316599087E0,8.400000000E1
3.436594472E0,8.500000000E1
3.517249933E0,8.600000000E1
3.676615165E0,8.400000000E1
3.716578549E0,8.300000000E1
3.796610242E0,8.200000000E1
3.876582165E0,8.300000000E1
3.956599165E0,8.400000000E1
3.997235781E0,8.500000000E1
4.076123001E0,8.600000000E1
4.196172847E0,8.500000000E1
4.916116234E0,8.600000000E1
4.956781234E0,8.700000000E1
5.156120003E0,8.600000000E1
5.196837542E0,8.400000000E1
5.236209157E0,8.300000000E1
5.356230081E0,8.400000000E1
5.436955004E0,8.600000000E1
5.516212235E0,8.700000000E1
5.596221235E0,8.600000000E1
5.636112543E0,8.500000000E1
5.796229774E0,8.600000000E1
5.836193159E0,8.700000000E1
5.876117544E0,8.800000000E1
6.476120930E0,8.700000000E1
6.636781776E0,8.600000000E1
6.756218161E0,8.500000000E1
6.876766700E0,8.400000000E1
6.916141162E0,8.300000000E1
7.116771393E0,8.400000000E1
7.156126085E0,8.500000000E1
7.196110701E0,8.600000000E1
7.276131085E0,8.700000000E1
7.316100932E0,8.800000000E1
7.356793855E0,8.900000000E1
7.436099701E0,9.000000000E1
7.556010394E0,8.900000000E1
7.716013856E0,8.800000000E1
7.796031317E0,8.700000000E1
7.836662702E0,8.600000000E1
7.876032625E0,8.500000000E1
8.036020549E0,8.600000000E1
8.196024934E0,8.700000000E1
8.276011703E0,8.800000000E1
8.476038704E0,8.700000000E1
8.556663935E0,8.800000000E1
8.636027319E0,8.900000000E1
8.996017551E0,8.800000000E1
9.156016628E0,8.700000000E1
9.196039628E0,8.600000000E1
9.236033475E0,8.500000000E1
9.476023321E0,8.600000000E1
9.796045784E0,8.500000000E1
9.836009245E0,8.600000000E1
9.876018092E0,8.700000000E1
9.956034707E0,8.600000000E1
9.996671707E0,8.700000000E1
1.043601502E1,8.600000000E1
1.055601079E1,8.500000000E1
1.063604186E1,8.400000000E1
1.099603263E1,8.500000000E1
1.103602117E1,8.600000000E1
1.115601625E1,8.700000000E1
1.123604794E1,8.600000000E1
1.155601294E1,8.700000000E1
1.159603356E1,8.600000000E1
1.179603102E1,8.500000000E1
1.195604956E1,8.600000000E1
1.215667017E1,8.500000000E1
1.239669071E1,8.600000000E1
1.251603256E1,8.700000000E1
1.263668118E1,8.600000000E1
1.267605079E1,8.500000000E1
1.279604587E1,8.400000000E1
1.283600948E1,8.300000000E1
1.287667164E1,8.200000000E1
1.295603510E1,8.300000000E1
1.311666156E1,8.400000000E1
1.315603110E1,8.500000000E1
1.319602518E1,8.600000000E1
1.323603387E1,8.700000000E1
1.327602641E1,8.800000000E1
1.331602025E1,8.900000000E1
1.347602402E1,8.800000000E1
1.379603110E1,8.700000000E1
1.387603256E1,8.600000000E1
1.407668341E1,8.500000000E1
1.415601656E1,8.400000000E1
1.419602464E1,8.500000000E1
1.423604826E1,8.400000000E1
1.463602764E1,8.500000000E1
1.471602864E1,8.600000000E1
1.479668518E1,8.700000000E1
1.491602618E1,8.600000000E1
1.535602864E1,8.700000000E1
1.539603726E1,8.600000000E1
1.543602957E1,8.700000000E1
1.555659423E1,8.600000000E1
1.563659639E1,8.500000000E1
1.571658308E1,8.400000000E1
1.591661016E1,8.500000000E1
1.599724062E1,8.600000000E1
1.615660031E1,8.500000000E1
1.619659416E1,8.400000000E1
1.635659762E1,8.500000000E1
1.639662093E1,8.600000000E1
1.655658216E1,8.500000000E1
1.703658993E1,8.600000000E1
1.711659139E1,8.700000000E1
1.715658493E1,8.800000000E1
1.723661724E1,8.900000000E1
1.727658039E1,9.000000000E1
1.731658924E1,9.200000000E1
1.735661231E1,9.400000000E1
1.739659570E1,9.600000000E1
1.743723762E1,9.800000000E1
1.751660124E1,9.900000000E1
1.755657947E1,1.000000000E2
1.771659762E1,1.010000000E2
1.775659108E1,1.020000000E2
1.779659978E1,1.040000000E2
1.783659293E1,1.050000000E2
1.787658624E1,1.060000000E2
1.799658647E1,1.050000000E2
1.803658993E1,1.030000000E2
1.807661355E1,1.020000000E2
1.819660839E1,1.010000000E2
1.823660278E1,1.030000000E2
1.827658039E1,1.040000000E2
1.843659908E1,1.030000000E2
